ForecastWeek,ForecastYear,WeekStartDate,PublishTime,TransmissionSystemDemand,NationalDemand
11,2026,2026-03-09,2026-02-26T14:45:00Z,39520,38920
12,2026,2026-03-16,2026-02-26T14:45:00Z,39180,38580
13,2026,2026-03-23,2026-02-26T14:45:00Z,38480,37880
14,2026,2026-03-30,2026-02-26T14:45:00Z,34980,34380
15,2026,2026-04-06,2026-02-26T14:45:00Z,33430,32830
16,2026,2026-04-13,2026-02-26T14:45:00Z,32760,32160
17,2026,2026-04-20,2026-02-26T14:45:00Z,31850,31250
18,2026,2026-04-27,2026-02-26T14:45:00Z,31060,30460
19,2026,2026-05-04,2026-02-26T14:45:00Z,30080,29480
20,2026,2026-05-11,2026-02-26T14:45:00Z,29570,28970
21,2026,2026-05-18,2026-02-26T14:45:00Z,29280,28680
22,2026,2026-05-25,2026-02-26T14:45:00Z,28430,27830
23,2026,2026-06-01,2026-02-26T14:45:00Z,28476,27876
24,2026,2026-06-08,2026-02-26T14:45:00Z,28218,27618
25,2026,2026-06-15,2026-02-26T14:45:00Z,28114,27514
26,2026,2026-06-22,2026-02-26T14:45:00Z,28183,27583
27,2026,2026-06-29,2026-02-26T14:45:00Z,28324,27724
28,2026,2026-07-06,2026-02-26T14:45:00Z,28479,27879
29,2026,2026-07-13,2026-02-26T14:45:00Z,28599,27999
30,2026,2026-07-20,2026-02-26T14:45:00Z,28661,28061
31,2026,2026-07-27,2026-02-26T14:45:00Z,28687,28087
32,2026,2026-08-03,2026-02-26T14:45:00Z,28735,28135
33,2026,2026-08-10,2026-02-26T14:45:00Z,28879,28279
34,2026,2026-08-17,2026-02-26T14:45:00Z,29174,28574
35,2026,2026-08-24,2026-02-26T14:45:00Z,29639,29039
36,2026,2026-08-31,2026-02-26T14:45:00Z,30242,29642
37,2026,2026-09-07,2026-02-26T14:45:00Z,30938,30338
38,2026,2026-09-14,2026-02-26T14:45:00Z,31695,31095
39,2026,2026-09-21,2026-02-26T14:45:00Z,32511,31911
40,2026,2026-09-28,2026-02-26T14:45:00Z,33411,32811
41,2026,2026-10-05,2026-02-26T14:45:00Z,34411,33811
42,2026,2026-10-12,2026-02-26T14:45:00Z,35481,34881
43,2026,2026-10-19,2026-02-26T14:45:00Z,36582,35982
44,2026,2026-10-26,2026-02-26T14:45:00Z,38440,37840
45,2026,2026-11-02,2026-02-26T14:45:00Z,39327,38727
46,2026,2026-11-09,2026-02-26T14:45:00Z,40237,39637
47,2026,2026-11-16,2026-02-26T14:45:00Z,41098,40498
48,2026,2026-11-23,2026-02-26T14:45:00Z,41874,41274
49,2026,2026-11-30,2026-02-26T14:45:00Z,42537,41937
50,2026,2026-12-07,2026-02-26T14:45:00Z,43055,42455
51,2026,2026-12-14,2026-02-26T14:45:00Z,43429,42829
52,2026,2026-12-21,2026-02-26T14:45:00Z,43619,43019
53,2026,2026-12-28,2026-02-26T14:45:00Z,38095,37495
1,2027,2027-01-04,2026-02-26T14:45:00Z,43876,43276
2,2027,2027-01-11,2026-02-26T14:45:00Z,43845,43245
3,2027,2027-01-18,2026-02-26T14:45:00Z,43707,43107
4,2027,2027-01-25,2026-02-26T14:45:00Z,43342,42742
5,2027,2027-02-01,2026-02-26T14:45:00Z,42827,42227
6,2027,2027-02-08,2026-02-26T14:45:00Z,42198,41598
7,2027,2027-02-15,2026-02-26T14:45:00Z,41483,40883
8,2027,2027-02-22,2026-02-26T14:45:00Z,40706,40106
